(259,196) 
(67,262) 
(52,244) 
(79,141) 
(104,97) 
(204,120) 
(126,269) 
(121,96) 
(114,124) 
(99,20) 
(77,247) 
(52,286) 
(60,109) 
(194,118) 
(159,228) 
(266,104) 
(247,279) 
(96,77) 
(124,119) 
(74,139) 
(264,179) 
(70,158) 
(48,46) 
(268,212) 
(186,176) 
(229,69) 
(139,251) 
(149,158) 
(276,225) 
(37,168) 
(80,279) 
(79,206) 
(121,188) 
(143,190) 
(27,150) 
(182,93) 
(214,232) 
(79,191) 
(98,166) 
(276,123) 
(229,256) 
(220,118) 
(256,96) 
(200,80) 
(67,193) 
(143,73) 
(195,242) 
(110,21) 
(228,71) 
(210,157) 
(202,253) 
(266,199) 
(215,167) 
(185,151) 
(91,49) 
(231,256) 
(8,78) 
(280,7) 
(165,250) 
(33,91) 
(43,241) 
(173,300) 
(136,159) 
(11,294) 
(23,135) 
(74,131) 
(169,114) 
(258,161) 
(245,167) 
(61,92) 
(6,284) 
(42,98) 
(39,124) 
(184,110) 

(113,268) 
(227,72) 
(195,251) 
(100,122) 
(124,67) 
(277,154) 
(152,247) 
(290,278) 
(87,201) 
(297,112) 
(61,286) 
(123,248) 
(207,208) 
(289,191) 
(295,147) 
(24,236) 
(125,65) 
(230,35) 
(166,51) 
(158,216) 
(121,166) 

(190,265) 
(296,90) 
(213,27) 
(277,97) 
(139,292) 
(285,277) 
(159,234) 
(23,82) 
(279,238) 
(282,256) 
(223,283) 
(292,238) 
(71,222) 
(108,102) 
(154,11) 
(90,191) 

(257,135) 
(63,275) 
(59,18) 
(5,280) 
(255,246) 
(179,8) 
(176,51) 

(269,69) 
(176,109) 
(235,253) 
(165,8) 
(189,147) 
(269,183) 
(21,15) 
(16,151) 
(286,270) 
(159,217) 
(3,262) 
(44,170) 
(196,90) 
(193,4) 
(101,100) 
(50,206) 
(102,48) 

(224,173) 
(125,265) 
(126,173) 
(255,0) 
(3,113) 
(100,277) 
(239,242) 

(58,197) 
(275,166) 
(143,61) 
(66,124) 
(168,238) 
(101,76) 
(143,220) 
(237,281) 
(5,215) 
(77,259) 
(256,158) 
(232,132) 
(167,16) 
(269,133) 
(187,129) 
(228,219) 
(241,76) 
(263,204) 
(279,150) 
(267,165) 
(116,81) 
(239,96) 
(107,181) 
(71,206) 
(273,127) 
(136,137) 
(269,110) 
(226,166) 
(108,123) 
(38,156) 
(188,257) 
(294,40) 
(265,11) 

(17,23) 
(140,166) 
(105,248) 
(82,63) 
(278,17) 
(242,110) 
(285,173) 
(265,101) 
(273,82) 
(146,232) 
(251,49) 

(58,254) 
(129,199) 
(196,34) 
(237,280) 

(10,134) 
(94,107) 
(295,166) 
(170,187) 
(207,115) 
(90,92) 
(61,109) 

(198,157) 
(161,98) 
(80,10) 
(173,245) 
(219,68) 
(287,268) 
(292,249) 
(262,50) 
(109,177) 
(228,122) 
(206,97) 
(244,287) 
(97,260) 
(21,243) 
(175,164) 
(65,207) 
(235,176) 

(134,8) 
(179,128) 
(101,76) 
(98,182) 
(196,289) 
(134,51) 
(232,103) 
(186,105) 
(295,129) 
(203,144) 
(70,220) 
(94,180) 
(197,92) 

(165,143) 
(190,208) 

(37,156) 
(226,138) 
(196,38) 
(17,11) 
(200,209) 
(212,155) 
(30,142) 
(82,164) 
(291,18) 
(109,55) 
(199,267) 
(38,188) 
(29,34) 
(117,50) 
(247,77) 
(202,246) 
(190,118) 
(89,25) 
(273,60) 
(132,267) 
(130,59) 
(4,109) 
(78,15) 

(95,112) 
(13,178) 
(82,253) 
(177,215) 
(96,132) 
(181,170) 
(188,42) 
(83,5) 
(277,206) 
(194,107) 
(91,252) 
(104,282) 
(29,110) 
(115,46) 
(19,207) 
(107,1) 
(218,299) 
(23,264) 
(115,98) 
(239,77) 

(78,40) 
(77,105) 
(212,207) 
(100,205) 
(259,287) 
(141,1) 
(262,102) 

(123,97) 
(107,114) 
(178,261) 
(279,40) 
(236,146) 
(299,99) 
(153,28) 
(173,35) 
(26,59) 
(133,120) 
(268,184) 
(98,148) 
(8,90) 
(31,213) 

(77,281) 

(124,209) 
(213,298) 
(255,263) 
(133,95) 
(19,267) 
(190,25) 
(130,205) 

(66,201) 
(44,285) 
(143,249) 
(156,10) 
(112,72) 
(181,80) 
(255,136) 
(79,31) 
(236,222) 
(153,142) 
(264,102) 
(121,270) 
(156,289) 
(286,164) 
(162,211) 
(18,150) 
(186,292) 
(35,257) 
(193,131) 
(14,122) 
(7,163) 
(12,299) 
(24,7) 
(126,0) 
(84,189) 
(296,97) 
(55,117) 
(252,163) 
(259,207) 
(36,206) 

(88,160) 
(31,193) 
(43,220) 
(144,96) 
(102,109) 


(110,93) 
(186,240) 
(15,66) 
(70,113) 
(251,112) 
(254,24) 
(102,41) 
(36,245) 
(7,40) 
(135,268) 

(72,219) 
(37,225) 
(181,139) 
(187,174) 
(266,138) 
(64,243) 
(243,101) 
(85,95) 
(31,127) 
(140,48) 
(12,107) 
(29,39) 
(114,56) 
(252,147) 
(152,88) 
(25,72) 
(20,109) 
(77,290) 
(135,48) 
(25,127) 

(191,197) 
(20,132) 
(19,195) 
(223,103) 
(248,106) 


(235,294) 
(156,260) 
(285,232) 
(237,65) 
(14,206) 
(69,33) 
(107,138) 
(292,122) 

(13,300) 
(45,143) 
(199,207) 
(115,134) 
(89,33) 
(168,206) 
(240,195) 
(187,253) 
(261,254) 
(114,294) 
(137,52) 
(135,115) 
(253,64) 
(285,40) 
(146,123) 
(27,9) 

(181,237) 
(79,106) 
(180,181) 
(57,168) 
(199,39) 
(32,226) 
(29,37) 
(270,138) 
(23,32) 
(112,178) 

(39,136) 
(9,25) 
(15,67) 
(21,215) 
